编号,功能名称,,场景名称,前置条件,操作步骤,输入数据格式,实际数据,预测结果,实际结果
,登录,test_login,正常账号密码登录,,"1、打开chorme浏览器
1、输入账号
2、输入密码
3、点击登录","{""username"":""lihaiying"",""password"":""a123456""}",,"1、登录成功，页面跳转首页https://antenna-monitor.newtest.senthink.com/home
校验：页面显示用户名",
,站点,test_site_add,正常添加站点,"1、已登录账号lihaiying
","1、点击站点管理-站点信息管理-添加站点
2、输入站点名称、站点编号、站点编码、联系人、联系电话
3、站点区域选择：浙江省-杭州市-余杭区
4、输入利尔达选择利尔达物联网科技园
5、提交","{
  ""name"": ""站点+时间戳"",
  ""number"": ""number时间戳"",
  ""addrCode"": ""addrCode时间戳"",
  ""contact"": ""李海英"",
  ""phone"": ""18067988320"",
  ""address"": ""利尔达物联网科技园6幢非机动车库"",
  ""province"": ""浙江省/杭州市/余杭区""
}",,"1、添加成功，页面跳转站点信息管理页
2、校验列表中包含已添加的新站点
3、记录添加的站点信息（站点名称、站点id）",
,监测器,test_detector_add,添加监测器,"1、已登录账号lihaiying
","1、点击资源管理-监测终端管理-添加监测终端
2、输入监测终端imei、监测终端ID、产品型号
3、提交","{
  
  ""sn"": ""imei+时间戳"",
  ""imei"": ""imei+时间戳"",
  ""productModel"": ""123""
}",,"1、添加成功，页面跳转监测终端管理页
2、校验列表中包含已添加的新监测器imei
3、记录添加的监测器imei、监测器id",
,天线,test_antenna_add,添加天线,"1、已登录账号lihaiying
2、已添加过站点
3、已添加过监测器
","1、点击监测管理-室分天线-添加天线
2、选择站点、运营商
3、输入天线编号、位置
4、选择监测终端
5、上次安装图
6、提交","{
  
  ""siteId"": ""添加的站点"",
  ""mnc"": ""0"",
  ""number"": ""ant时间戳"",
  ""position"": ""13"",
  ""detectorId"": ""添加的监测器"",
  ""installPic"": ""http://test-antenna-monitor.oss-cn-zhangjiakou.aliyuncs.com/antenna/1701829421698_750x360.jpg""
}",,"1、添加成功，页面跳转天线列表页
2、校验数据表中有此天线，绑定结果正确
3、
4、记录添加的天线id、天线number",
,天线,test_antenna_param,天线参数配置,"1、已登录账号lihaiying
2、已添加过站点
3、已添加过监测器
",1、点击添加的天线-详情-参数配置-修改数据-提交,,,,
,天线,test_antenna_edit,编辑-修改天线运营商,,1、点击添加的天线-编辑-运营商-4,"{
  
  ""siteId"": ""添加的站点"",
  ""mnc"": ""4"",
  ""number"": ""ant时间戳"",
  ""position"": ""13"",
  ""detectorId"": ""添加的监测器"",
  ""installPic"": ""http://test-antenna-monitor.oss-cn-zhangjiakou.aliyuncs.com/antenna/1701829421698_750x360.jpg""
}",,"1、编辑成功，页面跳转天线列表页
2、校验数据表中有此天线数据争取
3、天线参数表数据是三网频段参数
4、校验标准数据（天线绑定等信息未变、天线频段信息未变、天线参数信息未变）",
,天线,test_antenna_edit,编辑-修改天线监测器,1、添加新监测器,1、点击添加的天线-编辑-监测器-1,"{
  
  ""siteId"": ""添加的站点"",
  ""mnc"": ""4"",
  ""number"": ""ant时间戳"",
  ""position"": ""13"",
  ""detectorId"": ""新添加的监测器"",
  ""installPic"": ""http://test-antenna-monitor.oss-cn-zhangjiakou.aliyuncs.com/antenna/1701829421698_750x360.jpg""
}",,"1、编辑成功，页面跳转天线列表页
2、校验数据表中有此天线数据绑定关系正确
3、校验标准数据（天线绑定信息未变）

",
,天线,test_antenna_edit,编辑-修改站点,1、添加新站点,1、点击添加的天线-编辑-站点,"{
  
  ""siteId"": ""新添加的站点"",
  ""mnc"": ""4"",
  ""number"": ""ant时间戳"",
  ""position"": ""13"",
  ""detectorId"": ""新添加的监测器"",
  ""installPic"": ""http://test-antenna-monitor.oss-cn-zhangjiakou.aliyuncs.com/antenna/1701829421698_750x360.jpg""
}",,"1、编辑成功，页面跳转天线列表页
2、校验数据表中有此天线数据绑定关系正确
3、校验标准数据（天线绑定信息未变）

",
,天线,test_antenna_changemnc,更换天线监测器,1、添加新监测器,1、点击添加的天线-详情-监测器-更换-选择-提交,"{
  
 
  ""detectorId"": ""新添加的监测器"",
 ""
}",,"1、更换成功，页面显示新的监测器imei
2、校验数据表中有此天线数据绑定关系正确，校验历史绑定正确
3、校验标准数据（天线绑定信息未变）

",
,天线,test_antenna_delete,删除天线,,1、室分天线-删除,"{
  antena：""添加的天线""
}",,"1、删除成功，页面列表不显示此天线
2、天线与监测器绑定状态删除
3、标准数据未变",
